Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
198078620,"How To Do Things You Hate: Self-Discipline to Suffer Less, Embrace the Suck, and Achieve Anything (Live a Disciplined Life Book 16)",Peter Hollins,"Hollins, Peter",,"=""""","=""""",0,4.19,PH Learning Co.,Kindle Edition,188,2023,,,2023/09/08,currently-reading,currently-reading (#279),currently-reading,,,,1,0
179025061,100 Harsh Truths of Life (100 Quotes),Library Mindset,"Mindset, Library",,"=""""","=""""",0,4.02,,Kindle Edition,108,2023,,,2023/09/08,currently-reading,currently-reading (#278),currently-reading,,,,1,0
64657466,Microsoft Azure For Dummies,Jack A. Hyman,"Hyman, Jack A.",,"=""""","=""""",0,5.00,For Dummies,Kindle Edition,400,2022,,,2023/09/08,currently-reading,currently-reading (#277),currently-reading,,,,1,0
60798088,Microsoft Azure Fundamentals Certification and Beyond: Simplified cloud concepts and core Azure fundamentals for absolute beginners to pass the AZ-900 exam,Steve Miles,"Miles, Steve",Peter De Tender,"=""1801077126""","=""9781801077125""",0,3.73,Packt Publishing,Kindle Edition,424,2022,,,2023/09/08,currently-reading,currently-reading (#276),currently-reading,,,,1,0
174047514,Learning Git,Anna Skoulikari,"Skoulikari, Anna",,"=""1098133870""","=""9781098133870""",0,4.33,O'Reilly Media,Kindle Edition,521,2023,,,2023/09/06,currently-reading,currently-reading (#275),currently-reading,,,,1,0
54922099,GIT: The Ultimate Guide for Beginners: Learn Git Version Control,Jameson Garner,"Garner, Jameson",,"=""""","=""""",0,3.39,,Kindle Edition,57,2020,,,2023/09/06,currently-reading,currently-reading (#274),currently-reading,,,,1,0
67309092,Essentials of Compilation: An Incremental Approach in Racket,Jeremy G. Siek,"Siek, Jeremy G.",,"=""""","=""""",0,4.50,The MIT Press,Kindle Edition,229,2023,,,2023/09/06,currently-reading,currently-reading (#274),currently-reading,,,,1,0
61767707,"Learn Enough Developer Tools to Be Dangerous: Command Line, Text Editor, and Git Version Control Essentials",Michael Hartl,"Hartl, Michael",,"=""0137843267""","=""9780137843268""",0,4.14,Addison-Wesley Professional,Kindle Edition,368,2022,,,2023/09/05,currently-reading,currently-reading (#273),currently-reading,,,,1,0
134179952,Python for the Ethical Hacker: Unleashing the Power of Programming,Rocky Sah,"Sah, Rocky",,"=""""","=""""",0,5.00,,Kindle Edition,524,2023,,,2023/09/05,currently-reading,currently-reading (#272),currently-reading,,,,1,0
152165898,"Learn Enough Python to Be Dangerous: Software Development, Flask Web Apps, and Beginning Data Science with Python",Michael Hartl,"Hartl, Michael",,"=""0138051054""","=""9780138051051""",0,3.86,Addison-Wesley Professional,Kindle Edition,448,2023,,,2023/08/15,currently-reading,currently-reading (#271),currently-reading,,,,1,0
63278248,Dead Fall (Scot Harvath #22),Brad Thor,"Thor, Brad",,"=""""","=""""",0,4.39,Atria/Emily Bestler Books,Kindle Edition,320,2023,2023,,2023/08/10,currently-reading,currently-reading (#270),currently-reading,,,,1,0
